episode,total_steps,ep_return,avg_return,return_std
1,2000,-3146.684055475769,-3146.684055475769,0.0
2,4000,-2144.935802465891,-2645.80992897083,500.8741265049391
3,6000,-2092.1456423333975,-2461.2551667583525,485.1503350289118
4,8000,-2061.2718854996883,-2361.2593464436864,454.4509081575346
5,8346,-24.420814416561882,-1893.8916400382616,1019.2893574951306
6,10346,-1638.2035900253697,-1851.276965036113,935.3461290952087
7,11522,-426.50682564068273,-1647.7383736939087,999.2288834206273
8,13522,-589.3510277415934,-1515.439955449869,998.0837472719426
9,15522,-464.243518067402,-1398.6403512962615,997.3077065969414
10,17021,-293.1583472827773,-1288.0921508949132,1002.5709635640144
11,19021,-2601.155542592784,-1407.461550140174,1027.7460445157715
12,19105,126.17104190552405,-1279.658834136366,1071.405143140126
13,20788,-1450.4045404868812,-1292.7931192402516,1030.3777963750456
14,22788,-250.815678339231,-1218.366159175893,1028.5213039108887
15,23112,305.5476349969332,-1116.771906231038,1063.87585068242
16,25112,2250.1816880073548,-906.3373065911385,1313.5193745983488
17,25211,155.65714900057645,-843.8670444975081,1298.5697904379838
18,25333,191.6485252573632,-786.3384017333486,1284.08073908415
19,25617,336.4052865146893,-727.2466286676623,1274.7290460293711
20,25813,196.52186568311768,-681.0582039501234,1258.658601341631
21,25961,222.87688212896714,-512.5801570698866,1136.9810959102858
22,26094,192.5438397642735,-395.7061749583784,1081.987629160108
23,26527,552.2152946543243,-263.4881281089924,1026.7658107120137
24,26695,239.35496982845817,-148.45678534258508,944.4877221905704
25,26758,89.83364580989738,-142.7440623312621,945.565593990862
26,27481,922.841809302461,-14.691792364870599,907.0008882236347
27,27926,632.3324527215586,38.25017155324147,912.3048817691598
28,29889,2608.449671346271,198.14020650763467,1057.0418554584887
29,30129,264.1605315831625,234.5604089901629,1046.0838289923593
30,30297,267.25975676424565,262.581314192514,1039.0550102049872
31,30385,98.8488322480491,397.58153293455575,807.8992710779881
32,30550,189.93095778783533,400.7695287286713,806.9472251808469
33,30913,483.925483098243,497.4860299079275,686.1583028261508
34,31060,225.6141152075445,521.3075195852664,667.7901599594576
35,31291,261.7913303568068,519.11970435326,668.5646770783609
36,31494,211.6591170426763,417.193575805026,539.8959277776672
37,31622,225.46839599871882,420.6841381549331,538.4173946917907
38,31744,129.4361807181182,417.5735209279709,539.9092683071391
39,31922,164.93412499950352,408.9999628522116,542.4854202748112
40,32114,343.4644871661798,416.34709392636466,540.5495802565732
41,32206,139.1559803391993,412.1610488368763,542.3527775092558
42,32646,520.2316799294322,428.5454408451342,540.4169354394062
43,33845,1573.7225460461004,479.620803414723,595.1878610362179
44,33975,127.02485712022634,474.0042977793115,597.9522190919909
45,34160,272.690630833106,483.14714703047196,593.3888015103107
46,34361,161.79854377559818,445.09498375412875,588.3527675357722
47,35076,1013.3998629031234,464.14835426320707,600.1596257940109
48,35167,85.15092610610924,337.9834170011989,348.6467132272403
49,35338,153.06297293616163,332.42853906884886,350.65789822332897
50,35511,138.76587029929084,326.00384474560116,352.9626011968541
51,35707,290.8571680407269,335.6042615352351,349.2452208694436
52,37165,1990.000998876625,425.6077635896745,499.66187224276047
53,37401,284.696909440035,415.64633490676414,500.3853536347372
54,37525,181.68511094919089,413.44988469384646,501.31024149544254
55,37951,570.0757828725508,428.8641073196336,501.14960611866775
56,38707,1055.1912180714248,471.040712371071,516.3598007129375
57,39070,474.0610891039529,483.4703470263327,513.2817121035948
58,39327,351.42608128381784,494.56984205461777,507.87763491830486
59,39406,104.98794283292507,491.5725329462889,509.98669168955496
60,41406,2916.055931833585,620.2021051796592,732.3592334095898
61,41531,190.51307745486005,622.7699600354422,730.7563323009078
62,41872,465.7355508507169,620.0451535815064,731.2350360634452
63,42090,318.6356687931577,557.2908097188592,699.8813654643137
64,42309,284.2112822460052,565.1501309751483,695.8766691817898
65,42409,147.12646339158132,558.8719226030721,699.0461245032498
66,42680,406.2016510731921,571.0920779679517,694.1168483531058
67,42958,236.85231222998203,532.2647004342946,689.9961131345761
68,43419,690.1874224007099,562.5165252490245,682.9574702587022
69,43600,279.1008665160088,568.8184199280169,679.7240642431997
70,43772,142.7848448879833,569.0193686574515,679.5974791829813
71,43985,325.7549001871312,570.7642552647719,678.9255177639154
72,44155,153.40205813701206,478.9343082277911,600.4207132976449
73,44636,674.7534898249347,498.4371372470361,600.1295875532016
74,45525,1354.9309641126408,557.0994299052086,623.1988035463625
75,45686,177.01704430463633,537.4464929768128,628.6534995663991
76,45905,283.1917029574049,498.84651722111204,619.309744217678
77,46009,138.4436128649106,482.06564340915986,624.2809931097894
78,46101,134.03306644229014,471.1959926670835,628.3403600142085
79,46315,266.8724758639577,479.2902193186351,624.6023372558507
80,46538,295.23027925124325,348.2489366895179,278.85266386542423
81,46750,327.9704462172787,355.1218051276388,276.5648253459619
82,47304,770.3419610224557,370.35212563622576,290.28392792534936
83,48448,1962.8019985084961,452.56044212199276,451.84914716913084
84,48602,169.40313704908317,446.8200348621466,454.67189324965096
85,49066,612.9337265368149,470.11039801940825,450.6361787343257
86,49154,91.15563937578598,454.3580974345379,458.0403362900254
87,49234,131.7063986104122,449.1008017535595,461.09985699264155
88,50762,2774.265331650958,553.304697216072,684.9583877221803
89,51314,773.2757139149868,578.0134395860208,683.5330616234393
90,51395,114.76787571430266,576.6125911273368,684.4516857281513
91,52428,1558.3318953839923,638.2414408871798,713.9454849886669
92,53819,2335.251329689122,747.3339044647853,793.760452975312
93,53951,169.06298947833153,722.0493794474552,803.6621281538152
94,54387,588.9904953355713,683.7523560086017,790.7366391827828
95,56355,2779.7325842836085,813.8881330075503,902.8547691354153
96,56591,313.15577079435633,815.3863363993979,901.9973389218743
97,56743,193.41904440094666,818.1351079761997,900.0117981145809
98,57070,464.2180646019491,834.6443578841827,890.2874619643434
99,57136,96.1106926199751,826.1062687219835,896.4888282628849
100,59136,2961.257654962858,959.4076375075643,999.8875289644033
101,59283,190.89004611267845,952.5536175023344,1004.6508901480404
102,60236,1465.8707442922369,987.3300566658232,1009.7666461115128
103,60404,190.24228999507193,898.702071240152,997.9799245081899
104,60551,177.4335441415299,899.1035915947745,997.6879953879954
105,60642,107.3841209697719,873.8261113164224,1010.9345733315615
106,60752,149.33760487596624,876.7352095914314,1008.7595229390006
107,62639,2790.8369266265986,1009.6917359922406,1074.8740437399213
108,63033,633.4037230792102,902.6486555636532,997.6420317661411
109,63181,158.88191305879872,871.9289655208438,1010.5288242556077
110,63315,239.7754189138307,878.1793426808202,1006.2036061182242
111,63458,232.70405769270627,811.897950796256,1002.8728815180195
112,63534,136.2109471743534,701.9459316705174,948.9267308219273
113,63820,347.93087574307384,710.8893259837546,944.6957593075898
114,64424,1024.8880778181476,732.6842051078835,946.6582569542807
