episode,total_steps,ep_return,avg_return,return_std
1,2000,-3014.6700415135774,-3014.6700415135774,0.0
2,3723,-737.8707032576524,-1876.2703723856148,1138.3996691279626
3,5723,-1700.8953208198973,-1817.8120218637089,933.1687746268556
4,7723,233.12863286814854,-1305.0768581807447,1200.7476902684132
5,8020,-9.878853230533295,-1046.0372571907023,1192.4101945523043
6,8173,204.77116714814028,-837.569186467562,1184.1296702425352
7,8348,226.4426393085955,-685.5674970709681,1157.7914952941196
8,8515,229.79816252274537,-571.1467896217539,1124.529097580725
9,8660,213.46050867169308,-483.968200922482,1088.5123990531872
10,8784,168.2410542624574,-418.74727540398806,1051.0267554789807
11,8976,221.76828051484762,-360.51858850227575,1018.8913852783807
12,9803,563.9035467646396,-283.48341056336614,1008.4178807018267
13,10705,627.1403429445983,-213.43542952429198,998.7810929198203
14,11659,388.1783516466952,-170.46301658350717,974.8411620186772
15,11818,287.12037987244577,-139.95745681977695,948.6775990253532
16,13818,-1228.599997215854,-207.99761559453174,955.6054681735213
17,13913,187.9458460540739,-184.70682373284905,931.7427807425049
18,15913,1862.3746227439613,-70.98007670635958,1019.7001981961191
19,16258,622.6806205780036,-34.47161895455099,1004.5169977424819
20,16424,250.6014048629152,-20.217967763677684,981.0513970679832
21,16717,478.7085949683072,154.45096406041657,704.3165712910604
22,16919,329.8409861127829,207.8365485289383,674.4909169586061
23,17026,168.13886629752125,301.28825788480924,513.926748596976
24,17588,1018.4911513397074,340.5563838083871,536.7172719456612
25,17731,230.3356087773559,352.5671069087816,531.4022588678883
26,17922,321.4921886193575,358.4031579823426,530.3870301719389
27,18501,1044.5186333773995,399.3069576857827,549.8220842225485
28,18654,258.6039548281024,400.74724730105055,549.4137375725405
29,18741,152.09949339936207,397.679196537434,550.6210232552304
30,18892,261.2568017865877,402.3299839136406,549.0540427502256
31,18970,134.73424996948867,397.9782823863726,550.8099962407416
32,19141,288.74742177499405,384.22047613689034,549.9294355673942
33,19528,680.3093685373217,386.8789274165265,551.2243148355474
34,19754,402.2064419145055,387.58033192991695,551.2344469529231
35,19923,287.1732994280589,387.5829779076976,551.2339648560453
36,20038,197.8464114859225,458.9052983427865,412.273742065373
37,20239,344.9816343658895,466.7570877583773,408.5167886648296
38,20338,166.63139021461743,381.96992613191003,258.4829982081934
39,20624,504.789286033476,376.0753594046837,254.23583988708333
40,21345,1307.3851641562744,428.9145473693517,323.1463978698045
41,22730,2546.5983321198037,532.3090342269264,563.7716140376565
42,23007,466.8166435574696,539.1578170991608,562.0999235938534
43,23211,327.74970531867353,547.1383590502185,557.892956980114
44,23455,422.42793797306354,517.3351983818862,547.7456387580828
45,23585,205.4776819238253,516.0923020392097,548.4232464931556
46,23688,164.16442810189344,508.22591401333636,552.2729202568869
47,23915,375.88780781554533,474.79437273524366,538.8718634075237
48,24119,318.8050711207311,477.80442854987507,537.8229662328075
49,24420,479.79987673336507,494.1894477165753,532.6172058861459
50,24487,111.03585418707638,486.67840033659957,536.8911669118352
51,24618,193.93434747899022,489.63840521207464,535.1028716558928
52,24708,150.4534623590814,482.72370724127904,538.5366581004017
53,24929,359.1435637042785,466.6654169996269,537.1922014966389
54,25069,218.66388915232216,457.4882893615177,539.7765570996928
55,25178,177.90187861932517,452.02471832108114,542.0211704810683
56,25364,296.8459406072184,456.9746947771458,540.1260399685528
57,25513,239.38223017385585,451.6947245675443,541.7088357413874
58,25798,476.1411813237436,467.17021412300056,537.7506840312567
59,25885,136.26477242262112,448.7439884424578,542.4393359833246
60,26000,182.3042933467526,392.4899449019817,507.702853972627
61,26304,515.9920007478967,290.9596283333864,127.30779019852471
62,26895,1025.8649926862408,318.91204578982496,202.19778940712106
63,27120,361.6886419103931,320.60899261941097,202.40714676134772
64,27209,147.0516305292952,306.8401772472225,204.36933673732423
65,27433,367.91345652390856,314.96196597722667,203.4051175498053
66,27572,215.84631186021355,317.5460601651427,201.79485889330067
67,27818,406.91536120261145,319.097437834496,202.35590904528902
